464,475,423,0,415,380,477,305,483,599,387,551
281,305,507,494,518,567,399,461,425,520,325,0
496,638,629,197,584,520,394,0,386,496,539,679
998,527,387,708,591,419,408,624,853,561,0,292
422,550,459,590,0,475,447,563,119,483,394,198
454,571,596,204,473,438,457,0,380,503,349,560
462,691,378,0,411,330,420,271,444,385,289,684
928,559,334,647,402,490,534,505,112,411,0,299
298,352,499,550,377,519,415,156,501,432,347,0
482,488,565,570,0,544,315,422,116,412,306,205
469,548,364,603,403,410,475,454,144,386,0,280
423,626,289,0,424,283,423,313,445,459,296,485
539,493,534,250,471,486,304,0,447,439,347,480
396,305,456,300,396,473,389,136,503,341,350,0
342,456,426,564,401,329,316,545,124,402,0,275
308,544,453,474,0,566,365,524,135,485,418,284
439,500,352,149,471,284,280,0,387,481,303,485
345,301,490,169,426,444,453,145,494,486,331,0
265,505,343,507,0,449,291,469,112,478,272,158
478,496,292,0,423,353,315,442,398,365,293,454
389,475,371,795,878,346,521,529,186,316,0,375
281,282,499,222,553,489,476,174,524,286,339,0
568,756,564,0,670,423,567,353,541,337,270,705
559,732,796,245,719,530,360,0,546,512,316,507
341,798,460,639,0,598,360,426,153,508,259,240
588,634,456,211,841,539,456,0,446,419,298,608
310,275,451,168,703,478,444,130,448,289,260,0
489,563,575,555,695,442,404,430,132,259,0,453
463,489,305,0,612,420,367,263,426,293,236,553
318,490,365,426,0,530,290,437,184,446,276,327
315,460,383,729,611,380,314,459,318,242,0,366
504,506,486,133,691,423,266,0,439,469,307,487
479,498,533,0,490,362,363,284,375,345,217,496
483,439,483,171,513,481,474,151,494,313,344,0
304,539,399,796,0,482,300,427,123,519,249,228
425,477,382,614,588,395,420,464,123,268,0,494
544,474,286,0,503,382,348,295,414,403,216,476
470,446,448,169,517,437,700,0,471,431,296,470
375,300,548,149,487,475,492,109,469,327,306,0
312,587,508,640,0,523,448,439,112,567,359,267
606,676,404,767,729,503,608,661,127,560,0,547
579,683,295,0,562,845,345,592,505,508,289,615
564,753,495,153,521,572,597,0,551,494,399,575
388,967,559,178,587,840,598,154,526,856,402,0
334,653,452,595,0,706,512,803,144,593,387,332
460,690,549,560,556,415,489,463,94,325,0,736
586,675,470,435,629,1031,795,497,404,324,0,819
417,465,235,0,450,378,279,311,419,287,222,489
532,594,507,189,1024,299,1258,0,446,483,302,481
662,561,526,169,713,499,463,209,489,443,339,0
323,653,498,537,0,476,333,418,128,591,321,289
513,506,507,558,546,434,759,439,85,339,0,312
609,649,473,572,711,525,257,492,361,382,0,808
492,838,382,210,853,421,442,0,435,481,426,510
499,409,529,155,782,504,753,145,520,421,306,0
386,595,429,484,0,516,282,587,133,684,341,349
1609,556,383,0,629,504,759,558,432,514,336,594
499,600,305,385,392,466,249,452,323,322,0,614
541,775,393,178,562,333,310,0,429,467,289,516
418,568,367,569,971,504,300,436,142,343,0,499
438,613,244,0,878,427,439,380,388,300,226,578
368,478,537,147,450,421,488,141,448,363,321,0
367,523,349,534,0,528,259,409,128,449,236,298
603,502,312,352,325,438,515,408,354,236,0,532
430,517,241,676,447,306,252,446,116,289,0,329
551,637,459,203,562,368,511,0,495,465,323,390
598,431,252,0,469,365,289,346,409,310,244,466
386,874,357,490,0,539,323,503,133,487,248,224
501,667,279,567,629,617,420,415,585,555,0,533
621,524,6469,166,659,494,555,160,479,400,387,0
1281,688,314,0,415,451,785,456,937,363,294,612
699,674,863,720,595,796,1073,831,171,734,0,624
659,656,530,186,463,764,755,496,745,499,375,0
4595,1411,560,528,649,1069,561,0,581,838,410,664
540,554,783,501,569,767,609,702,289,454,0,499
484,612,620,633,0,733,537,779,85,441,316,519
528,439,484,383,374,645,445,624,118,551,0,427
515,563,455,211,525,438,333,0,517,444,352,872
332,432,517,91,454,456,554,196,607,355,434,0
462,526,674,0,561,433,419,560,418,433,284,484
310,599,536,571,0,516,647,649,98,564,276,332
579,532,465,719,312,616,724,522,332,681,0,584
418,608,500,644,412,402,436,557,200,401,0,317
418,1014,444,1152,540,415,453,0,507,485,390,631
613,571,362,0,543,603,396,355,569,674,294,520
393,1589,555,170,453,456,431,237,766,352,334,0
372,750,364,648,0,499,399,746,119,715,328,197
533,462,329,416,809,513,389,759,747,450,0,565
442,731,436,673,454,446,311,823,111,289,0,298
553,728,432,192,530,305,301,0,553,666,347,547
517,428,426,0,498,382,395,386,458,646,289,545
453,300,557,173,430,420,458,388,709,397,318,0
553,521,316,558,0,509,404,751,230,488,254,156
519,445,298,493,256,487,229,418,235,263,0,519
646,504,419,508,435,307,330,934,145,317,0,293
226,362,557,136,393,482,445,149,617,589,337,0
588,624,344,0,472,417,335,262,464,352,323,545
596,651,556,550,0,549,342,616,71,546,343,899
625,1117,446,158,541,311,258,0,959,782,414,681
611,481,542,442,438,561,339,458,198,308,0,502
632,648,500,350,575,577,417,0,634,401,464,544
939,601,449,664,625,559,470,633,123,523,0,740
1357,810,270,0,619,446,737,406,491,502,281,539
442,526,531,173,569,611,776,254,1348,354,331,0
324,568,521,442,0,733,632,717,254,679,392,523
475,569,378,359,310,783,415,461,285,471,0,570
371,463,430,604,675,534,867,518,120,307,0,357
500,606,476,306,493,643,620,0,615,433,404,521
296,330,482,160,518,670,656,152,658,313,323,0
480,663,310,0,484,553,336,879,441,487,599,555
352,653,541,735,0,628,486,856,160,659,270,548
550,556,285,439,307,701,673,465,267,346,0,543
415,513,395,592,406,495,571,412,169,293,0,343
443,586,511,169,501,653,376,0,573,471,201,445
443,580,210,0,421,398,419,1315,430,343,301,462
263,321,485,153,425,569,700,230,701,373,316,0
315,530,331,398,0,613,797,414,161,447,285,212
360,453,401,583,457,517,916,406,100,224,0,296
357,480,403,569,319,618,418,448,388,257,0,532
425,585,376,185,485,458,442,0,615,581,336,438
397,553,220,0,423,506,657,341,380,416,250,445
279,220,515,165,367,466,543,224,559,294,317,0
314,577,384,451,0,688,362,1165,141,481,264,169
387,463,377,540,449,557,1256,466,125,234,0,440
462,427,324,327,320,489,292,439,254,223,0,481
426,543,469,173,520,447,343,0,711,400,320,404
380,459,271,0,481,311,435,696,354,421,190,451
416,350,439,147,461,511,797,182,498,307,310,0
290,529,342,405,0,705,319,448,88,459,163,299
471,466,234,355,324,903,290,544,301,229,0,465
340,489,558,147,433,433,226,0,412,412,258,572
205,351,421,251,0,464,245,355,90,385,237,127
367,356,226,0,518,520,257,221,507,396,201,377
528,474,336,567,682,424,328,739,1736,413,0,273
229,169,401,137,388,343,394,102,440,272,261,0
318,326,255,229,503,546,151,332,244,243,0,432
299,437,300,529,628,488,258,384,108,292,0,254
343,416,188,0,370,230,222,213,361,329,180,317
449,405,352,120,404,318,189,0,364,350,246,382
201,469,355,118,342,389,316,147,394,452,243,0
209,338,266,256,0,372,299,320,81,414,148,163
315,411,327,517,454,335,222,383,107,358,0,195
345,339,223,302,339,509,132,320,236,430,0,367
423,549,505,140,401,273,195,0,394,364,258,387
419,437,277,0,472,243,246,268,368,253,231,383
263,310,407,120,459,409,369,147,436,391,236,0
347,364,250,271,319,399,178,341,269,348,0,316
214,458,329,302,0,409,285,393,89,368,183,202
306,598,245,473,389,267,219,364,84,275,0,177
376,529,292,142,414,226,157,0,364,377,247,336
381,410,209,0,462,215,262,292,368,367,158,352
321,181,374,124,348,407,447,196,471,355,204,0
234,401,314,312,0,363,259,348,80,529,195,197
391,398,256,217,339,438,163,367,232,415,0,396
397,443,203,0,448,251,286,238,388,372,239,378
392,670,393,509,542,436,283,410,126,314,0,214
416,442,303,191,455,341,200,0,364,397,284,406
233,191,404,276,434,478,424,205,406,502,202,0
465,353,308,351,704,479,164,454,271,398,0,400
